"","user_id","created_at","screen_name","text","retweet_count"
"14","987118422851862528",2019-08-21 09:14:58,"pdIV_sw","<U+0E40><U+0E08><U+0E47><U+0E1A><U+0E2A><U+0E38><U+0E14><U+0E04><U+0E37><U+0E2D> “<U+0E08><U+0E30><U+0E44><U+0E21><U+0E48><U+0E21><U+0E35><U+0E01><U+0E32><U+0E23><U+0E01><U+0E25><U+0E48><U+0E32><U+0E27><U+0E16><U+0E36><U+0E07> Tony Stark” <U+0E2D><U+0E34><U+0E40><U+0E2B><U+0E35><U+0E49><U+0E22><U+0E22><U+0E22><U+0E22> <U+0E01><U+0E39><U+0E40><U+0E08><U+0E47><U+0E1A><U+0001F62D><U+0001F62D> 
 #SaveSpiderMan https://t.co/FXRVpCRaq1",9004
"15","987118422851862528",2019-08-21 09:13:53,"pdIV_sw","<U+0E2D><U+0E34><U+0E40><U+0E2B><U+0E35><U+0E49><U+0E22> <U+0E40><U+0E04><U+0E23><U+0E35><U+0E22><U+0E14><U+0E01><U+0E27><U+0E48><U+0E32><U+0E14><U+0E34><U+0E2A><U+0E41><U+0E1E><U+0E14><U+0E1B><U+0E23><U+0E30><U+0E01><U+0E32><U+0E28><U+0E41><U+0E09><U+0E40><U+0E14><U+0E15> MCU<U+0E17><U+0E35><U+0E48><U+0E44><U+0E21><U+0E48><U+0E21><U+0E35>Spidey <U+0E19><U+0E35><U+0E48><U+0E21><U+0E31><U+0E19><U+0E15><U+0E49><U+0E2D><U+0E07><U+0E22><U+0E31><U+0E07><U+0E44><U+0E07><U+0E27><U+0E30> <U+0E17><U+0E33><U+0E43><U+0E08><U+0E44><U+0E14><U+0E49><U+0E01><U+0E47><U+0E40><U+0E2B><U+0E35><U+0E49><U+0E22> <U+0E40><U+0E04><U+0E2A>Tony<U+0E01><U+0E39><U+0E22><U+0E31><U+0E07>move<U+0E44><U+0E21><U+0E48><U+0E44><U+0E14><U+0E49> <U+0E21><U+0E36><U+0E07><U+0E22><U+0E31><U+0E07><U+0E21><U+0E32><U+0E1E><U+0E23><U+0E32><U+0E01><U+0E19><U+0E49><U+0E2D><U+0E07><U+0E44><U+0E1B><U+0E08><U+0E32><U+0E01><U+0E01><U+0E39><U+0E2D><U+0E35><U+0E01> <U+0E16><U+0E36><U+0E07><U+0E08><U+0E30><U+0E22><U+0E31><U+0E07><U+0E21><U+0E35><U+0E15><U+0E31><U+0E27><U+0E15><U+0E19><U+0E2D><U+0E22><U+0E39><U+0E48> <U+0E16><U+0E36><U+0E07><U+0E08><U+0E30><U+0E44><U+0E14><U+0E49><U+0E40><U+0E08><U+0E2D><U+0E01><U+0E31><U+0E1A>venom <U+0E41><U+0E15><U+0E48>aveng <U+0E01><U+0E38><U+0E25><U+0E30> deadpool<U+0E01><U+0E38><U+0E25><U+0E30> <U+0E41><U+0E1C><U+0E25><U+0E43><U+0E08><U+0E21><U+0E32><U+0E01><U+0E2D><U+0E34><U+0E14><U+0E2D><U+0E01> <U+0E14><U+0E31><U+0E1A><U+0E1D><U+0E31><U+0E19><U+0E01><U+0E38><U+0E01><U+0E23><U+0E34><U+0E1A> <U+0E2D><U+0E22><U+0E48><U+0E32><U+0E40><U+0E2D><U+0E32><U+0E40><U+0E04><U+0E49><U+0E32><U+0E44><U+0E1B><U+0E08><U+0E32><U+0E01><U+0E17><U+0E38><U+0E48><U+0E07><U+0E25><U+0E32><U+0E40><U+0E27><U+0E19><U+0E40><U+0E14><U+0E2D><U+0E23><U+0E4C><U+0E01><U+0E39><U+0E4A><U+0E27> #SaveSpiderMan https://t.co/YZYfrMJfgZ",2454
"16","561935305",2019-08-21 09:14:58,"panggys","#SaveSpiderMan 
Spidey Fans: You took everything from me!

Sony: I don't even know who you are

Spidey Fans: YOU WILL https://t.co/3PPJAaZBYH",2534
"17","1695138356",2019-08-21 09:13:49,"sidney93_","Vai tomar no cu #SaveSpiderMan",0
"18","1695138356",2019-08-21 09:14:58,"sidney93_","LEAVE SPIDER-MAN ALONEEE #SaveSpiderMan",0
"19","1695138356",2019-08-21 09:14:25,"sidney93_","Sony: Ends Spider-Man deal with Disney 

Nobody:

Literally nobody:

Every mcu fan:

#savespiderman https://t.co/FQKNcVO3b5",1452
"20","769556404415922180",2019-08-21 09:14:58,"Avengeriana","y’all fuck sony #savespiderman #SonyIsOverParty https://t.co/Uias40Z0Xh",96
"21","1138775656735490048",2019-08-21 09:14:54,"sabraa74z","Homeless for real
#SaveSpiderMan https://t.co/siIf6nrZVt",810
"22","1138775656735490048",2019-08-21 09:14:58,"sabraa74z","#SaveSpiderMan 
Sony: ends Spider-Man deal with Disney

Literally everyone alive and dead: https://t.co/oRJHVAnhRM",970
"23","1138775656735490048",2019-08-21 09:14:46,"sabraa74z","we need him #SaveSpiderMan https://t.co/S1FGB2Ff06",253
